HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
2844,Y,55-64                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1.0,1.24
4366,N,55-64                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1.0,1.24
1192,N,55-64                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1.0,1.24
3044,Y,55-64                                                                                                                                                                                                   ,Single ,75-99K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1.0,1.24
1914,N,55-64                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult          ,1.0,1.24
4989,N,55-64                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Renter   ,1 Adult          ,1.0,1.24
839,Y,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1.0,1.24
2745,Y,65-74                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1.0,1.24
4159,N,65-74                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult          ,1.0,1.24
655,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1.0,1.24
733,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1.0,1.24
2735,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1.0,1.24
3582,Y,65-74                                                                                                                                                                                                   ,Unknown,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1.0,1.24
3988,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1.0,1.24
428,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
881,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Unknown,2 Adults         ,2.0,1.24
1836,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2379,N,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3004,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2306,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2319,N,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3319,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
4372,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3214,Y,75+                                                                                                                                                                                                     ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
54,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
808,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
1469,N,75+                                                                                                                                                                                                     ,Unknown,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
1495,N,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
4719,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
4725,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
2710,Y,Unknown,Married,50-74K                                                                                                                                                                                                  ,Unknown,2 Adults         ,2.0,1.24
453,Y,19-24                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
4623,Y,25-34                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Unknown,2 Adults         ,2.0,1.24
4603,N,35-44                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
264,Y,35-44                                                                                                                                                                                                   ,Unknown,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
1699,Y,45-54                                                                                                                                                                                                   ,Unknown,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
3655,Y,45-54                                                                                                                                                                                                   ,Unknown,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3969,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
4816,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Renter   ,2 Adults         ,2.0,1.24
4974,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
3551,Y,45-54                                                                                                                                                                                                   ,Unknown,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
1404,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
918,Y,55-64                                                                                                                                                                                                   ,Unknown,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
1112,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
3186,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
3274,N,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
4363,N,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2.0,1.24
2150,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2638,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
632,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
812,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Unknown,2 Adults         ,2.0,1.24
3030,N,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
982,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2320,N,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2420,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
2838,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
915,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
1618,N,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
1747,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
2555,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2.0,1.24
815,Y,55-64                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2.0,1.24
1290,Y,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2.0,1.24
